id,orderkey,orderdate,deliverydate,storekey,quantity,currencycode,exchangerate,productkey,productcode,productname,brand,color,weight,weightunit,price,cost,categorykey,categoryname,subcategorykey,subcategoryname,customerkey,gender,firstname,lastname,city,zipcode,birthday,age,vehicle_year,car
1,37500040,2016-01-10,2016-01-17,999999,1,USD,1.00000,1584,602014,SV DVD 38 DVD Storage Binder E25 ,Southridge Video,Black,4,pounds,9.99,5.09,6,"Music, Movies and Audio Books",602,Movie DVD,2031190,Male,Adelqui,Carranza,Vail,85641,1989-05-27,31,2001,Toyota
2,37500040,2016-01-10,2016-01-17,999999,3,USD,1.00000,551,305013,Proseware Projector 1080p LCD86 ,Proseware,White,11.9,pounds,2295,760.38,3,Computers,304,Monitors,2031190,Male,Adelqui,Carranza,Vail,85641,1989-05-27,31,2001,Toyota
3,37500040,2016-01-10,2016-01-17,999999,3,USD,1.00000,551,305013,Proseware Projector 1080p LCD86 ,Proseware,White,11.9,pounds,2295,760.38,3,Computers,308,Computers Accessories,2031190,Male,Adelqui,Carranza,Vail,85641,1989-05-27,31,2001,Toyota
4,37500040,2016-01-10,2016-01-17,999999,3,USD,1.00000,551,305013,Proseware Projector 1080p LCD86 ,Proseware,White,11.9,pounds,2295,760.38,3,Computers,301,Laptops,2031190,Male,Adelqui,Carranza,Vail,85641,1989-05-27,31,2001,Toyota
5,37500040,2016-01-10,2016-01-17,999999,3,USD,1.00000,551,305013,Proseware Projector 1080p LCD86 ,Proseware,White,11.9,pounds,2295,760.38,3,Computers,305,Projectors & Screens,2031190,Male,Adelqui,Carranza,Vail,85641,1989-05-27,31,2001,Toyota
6,37500040,2016-01-10,2016-01-17,999999,3,USD,1.00000,551,305013,Proseware Projector 1080p LCD86 ,Proseware,White,11.9,pounds,2295,760.38,3,Computers,306,"Printers, Scanners & Fax",2031190,Male,Adelqui,Carranza,Vail,85641,1989-05-27,31,2001,Toyota
7,37500040,2016-01-10,2016-01-17,999999,3,USD,1.00000,551,305013,Proseware Projector 1080p LCD86 ,Proseware,White,11.9,pounds,2295,760.38,3,Computers,303,Desktops,2031190,Male,Adelqui,Carranza,Vail,85641,1989-05-27,31,2001,Toyota
8,37600012,2016-01-11,2016-01-11,290,2,EUR,0.91844,115,106050,WWI Wireless Transmitter and tooth Headphones X250 ,Wide World Importers,Silver,11.5,ounces,249.99,82.83,1,Audio,101,MP4&MP3,713241,Male,Gioacchino,Trevisan,Gironico,22020,1999-05-02,21,2002,Mitsubishi
9,37600012,2016-01-11,2016-01-11,290,2,EUR,0.91844,115,106050,WWI Wireless Transmitter and tooth Headphones X250 ,Wide World Importers,Silver,11.5,ounces,249.99,82.83,1,Audio,106,Bluetooth Headphones,713241,Male,Gioacchino,Trevisan,Gironico,22020,1999-05-02,21,2002,Mitsubishi
10,37600012,2016-01-11,2016-01-11,290,2,EUR,0.91844,115,106050,WWI Wireless Transmitter and tooth Headphones X250 ,Wide World Importers,Silver,11.5,ounces,249.99,82.83,1,Audio,104,Recording Pen,713241,Male,Gioacchino,Trevisan,Gironico,22020,1999-05-02,21,2002,Mitsubishi
11,37600031,2016-01-11,2016-01-11,390,6,GBP,0.68612,1643,602073,Contoso DVD External DVD Burner M200 ,Contoso,Grey,41,pounds,57.88,26.62,6,"Music, Movies and Audio Books",602,Movie DVD,976742,Female,Holly,Wheeler,Dunsden Green,RG4 6RW,1981-10-03,39,2003,Citroen
12,37600031,2016-01-11,2016-01-11,390,3,GBP,0.68612,1656,602086,Contoso DVD 9-Inch Player Portable M300 ,Contoso,White,54,pounds,159.99,73.57,6,"Music, Movies and Audio Books",602,Movie DVD,976742,Female,Holly,Wheeler,Dunsden Green,RG4 6RW,1981-10-03,39,2003,Citroen
13,37600031,2016-01-11,2016-01-11,390,2,GBP,0.68612,1603,602033,SV DVD 7-Inch Player Portable E200 ,Southridge Video,Black,1,pounds,109.99,56.08,6,"Music, Movies and Audio Books",602,Movie DVD,976742,Female,Holly,Wheeler,Dunsden Green,RG4 6RW,1981-10-03,39,2003,Citroen
14,37600130,2016-01-11,2016-01-11,220,2,EUR,0.91844,28,101028,Contoso 16GB Mp5 Player M1600 ,Contoso,Red,2,ounces,199.9,91.93,1,Audio,101,MP4&MP3,506235,Male,Dominik,Biermann,Aachen,52062,1975-11-11,45,2006,Lancia
15,37600130,2016-01-11,2016-01-11,220,2,EUR,0.91844,28,101028,Contoso 16GB Mp5 Player M1600 ,Contoso,Red,2,ounces,199.9,91.93,1,Audio,106,Bluetooth Headphones,506235,Male,Dominik,Biermann,Aachen,52062,1975-11-11,45,2006,Lancia
16,37600130,2016-01-11,2016-01-11,220,2,EUR,0.91844,28,101028,Contoso 16GB Mp5 Player M1600 ,Contoso,Red,2,ounces,199.9,91.93,1,Audio,104,Recording Pen,506235,Male,Dominik,Biermann,Aachen,52062,1975-11-11,45,2006,Lancia
17,37600157,2016-01-11,2016-01-11,590,5,USD,1.00000,443,303028,WWI Desktop PC3.0 M0300 ,Wide World Importers,Silver,,pounds,349,160.49,3,Computers,304,Monitors,1682369,Female,Sarah,Pedersen,Corpus Christi,78476,1947-04-11,73,1992,Chevrolet
18,37600157,2016-01-11,2016-01-11,590,5,USD,1.00000,443,303028,WWI Desktop PC3.0 M0300 ,Wide World Importers,Silver,,pounds,349,160.49,3,Computers,308,Computers Accessories,1682369,Female,Sarah,Pedersen,Corpus Christi,78476,1947-04-11,73,1992,Chevrolet
19,37600157,2016-01-11,2016-01-11,590,5,USD,1.00000,443,303028,WWI Desktop PC3.0 M0300 ,Wide World Importers,Silver,,pounds,349,160.49,3,Computers,301,Laptops,1682369,Female,Sarah,Pedersen,Corpus Christi,78476,1947-04-11,73,1992,Chevrolet
20,37600157,2016-01-11,2016-01-11,590,5,USD,1.00000,443,303028,WWI Desktop PC3.0 M0300 ,Wide World Importers,Silver,,pounds,349,160.49,3,Computers,305,Projectors & Screens,1682369,Female,Sarah,Pedersen,Corpus Christi,78476,1947-04-11,73,1992,Chevrolet
21,37600157,2016-01-11,2016-01-11,590,5,USD,1.00000,443,303028,WWI Desktop PC3.0 M0300 ,Wide World Importers,Silver,,pounds,349,160.49,3,Computers,306,"Printers, Scanners & Fax",1682369,Female,Sarah,Pedersen,Corpus Christi,78476,1947-04-11,73,1992,Chevrolet
22,37600157,2016-01-11,2016-01-11,590,5,USD,1.00000,443,303028,WWI Desktop PC3.0 M0300 ,Wide World Importers,Silver,,pounds,349,160.49,3,Computers,303,Desktops,1682369,Female,Sarah,Pedersen,Corpus Christi,78476,1947-04-11,73,1992,Chevrolet
