id,orderkey,orderdate,deliverydate,storekey,quantity,currencycode,exchangerate,productkey,productcode,productname,brand,color,weight,weightunit,price,cost,categorykey,categoryname,subcategorykey,subcategoryname,customerkey,gender,firstname,lastname,city,zipcode,birthday,age,vehicle_year,car
1,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
2,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
3,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
4,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
5,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
6,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
7,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
8,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
9,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
10,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
11,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
12,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
13,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
14,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
15,87101989,2017-05-20,2017-05-20,60,3,AUD,1.34457,84,106019,NT Wireless tooth Stereo Headphones M402 ,Northwind Traders,Red,1.2,pounds,99.99,45.98,1,Audio,104,Recording Pen,13,Female,Caitlin,Fowler,Holland Park,4121,1944-03-24,76,1996,Mercedes-Benz
