orderkey,orderdate,deliverydate,storekey,quantity,currencycode,exchangerate,productkey,productcode,productname,brand,color,weight,weightunit,price,cost,categorykey,categoryname,subcategorykey,subcategoryname,customerkey,gender,firstname,surname,city,zipcode,birthday,age,vehicle_year,car
37400825,2016-01-09,2016-01-09,240,3,EUR,0.92073,59,104014,WWI 1GB Digital Voice Recorder Pen E100 ,Wide World Importers,Pink,2.2,ounces,156,79.53,1,Audio,101,MP4&MP3,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,3,EUR,0.92073,59,104014,WWI 1GB Digital Voice Recorder Pen E100 ,Wide World Importers,Pink,2.2,ounces,156,79.53,1,Audio,106,Bluetooth Headphones,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,3,EUR,0.92073,59,104014,WWI 1GB Digital Voice Recorder Pen E100 ,Wide World Importers,Pink,2.2,ounces,156,79.53,1,Audio,104,Recording Pen,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,3,EUR,0.92073,1696,701036,SV Hand Games for Office worker L28 ,Southridge Video,Black,2,pounds,16.99,5.63,7,Games and Toys,701,Boxed Games,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,3,EUR,0.92073,1696,701036,SV Hand Games for Office worker L28 ,Southridge Video,Black,2,pounds,16.99,5.63,7,Games and Toys,702,Download Games,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,2,EUR,0.92073,1127,402084,"Fabrikam SLR Camera 35"" M358 ",Fabrikam,Gold,5.1,pounds,328,150.84,4,Cameras and camcorders ,402,Digital SLR Cameras,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,2,EUR,0.92073,1127,402084,"Fabrikam SLR Camera 35"" M358 ",Fabrikam,Gold,5.1,pounds,328,150.84,4,Cameras and camcorders ,405,Camcorders,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,2,EUR,0.92073,1127,402084,"Fabrikam SLR Camera 35"" M358 ",Fabrikam,Gold,5.1,pounds,328,150.84,4,Cameras and camcorders ,401,Digital Cameras,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,2,EUR,0.92073,1127,402084,"Fabrikam SLR Camera 35"" M358 ",Fabrikam,Gold,5.1,pounds,328,150.84,4,Cameras and camcorders ,406,Cameras & Camcorders Accessories,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,10,EUR,0.92073,427,303012,Adventure Works Desktop PC3.0 MS300 ,Adventure Works,Black,,pounds,469,215.68,3,Computers,304,Monitors,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,10,EUR,0.92073,427,303012,Adventure Works Desktop PC3.0 MS300 ,Adventure Works,Black,,pounds,469,215.68,3,Computers,308,Computers Accessories,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,10,EUR,0.92073,427,303012,Adventure Works Desktop PC3.0 MS300 ,Adventure Works,Black,,pounds,469,215.68,3,Computers,301,Laptops,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,10,EUR,0.92073,427,303012,Adventure Works Desktop PC3.0 MS300 ,Adventure Works,Black,,pounds,469,215.68,3,Computers,305,Projectors & Screens,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,10,EUR,0.92073,427,303012,Adventure Works Desktop PC3.0 MS300 ,Adventure Works,Black,,pounds,469,215.68,3,Computers,306,"Printers, Scanners & Fax",402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37400825,2016-01-09,2016-01-09,240,10,EUR,0.92073,427,303012,Adventure Works Desktop PC3.0 MS300 ,Adventure Works,Black,,pounds,469,215.68,3,Computers,303,Desktops,402901,Male,Daniel,Rothschild,Pronstorf,23820,1964-02-11,56,2009,Fiat
37401114,2016-01-09,2016-01-09,410,2,GBP,0.68612,2131,805016,Contoso Coffee Maker Auto 5C E0900 ,Contoso,White,30,pounds,163,83.1,8,Home Appliances,808,Fans,906360,Female,Alisha,Barnett,Corby,NN17 3FL,1993-08-30,27,2008,Skoda
37401114,2016-01-09,2016-01-09,410,2,GBP,0.68612,2131,805016,Contoso Coffee Maker Auto 5C E0900 ,Contoso,White,30,pounds,163,83.1,8,Home Appliances,805,Coffee Machines,906360,Female,Alisha,Barnett,Corby,NN17 3FL,1993-08-30,27,2008,Skoda
37401114,2016-01-09,2016-01-09,410,2,GBP,0.68612,2131,805016,Contoso Coffee Maker Auto 5C E0900 ,Contoso,White,30,pounds,163,83.1,8,Home Appliances,802,Refrigerators,906360,Female,Alisha,Barnett,Corby,NN17 3FL,1993-08-30,27,2008,Skoda
37401114,2016-01-09,2016-01-09,410,2,GBP,0.68612,2131,805016,Contoso Coffee Maker Auto 5C E0900 ,Contoso,White,30,pounds,163,83.1,8,Home Appliances,807,Air Conditioners,906360,Female,Alisha,Barnett,Corby,NN17 3FL,1993-08-30,27,2008,Skoda
37401114,2016-01-09,2016-01-09,410,2,GBP,0.68612,2131,805016,Contoso Coffee Maker Auto 5C E0900 ,Contoso,White,30,pounds,163,83.1,8,Home Appliances,804,Water Heaters,906360,Female,Alisha,Barnett,Corby,NN17 3FL,1993-08-30,27,2008,Skoda
37401114,2016-01-09,2016-01-09,410,2,GBP,0.68612,2131,805016,Contoso Coffee Maker Auto 5C E0900 ,Contoso,White,30,pounds,163,83.1,8,Home Appliances,806,Lamps,906360,Female,Alisha,Barnett,Corby,NN17 3FL,1993-08-30,27,2008,Skoda
37401114,2016-01-09,2016-01-09,410,2,GBP,0.68612,2131,805016,Contoso Coffee Maker Auto 5C E0900 ,Contoso,White,30,pounds,163,83.1,8,Home Appliances,801,Washers & Dryers,906360,Female,Alisha,Barnett,Corby,NN17 3FL,1993-08-30,27,2008,Skoda
37401114,2016-01-09,2016-01-09,410,2,GBP,0.68612,2131,805016,Contoso Coffee Maker Auto 5C E0900 ,Contoso,White,30,pounds,163,83.1,8,Home Appliances,803,Microwaves,906360,Female,Alisha,Barnett,Corby,NN17 3FL,1993-08-30,27,2008,Skoda
37401114,2016-01-09,2016-01-09,410,2,GBP,0.68612,1057,402014,"A. Datum SLR Camera 35"" X358 ",A. Datum,Silver Grey,5.2,pounds,588,194.82,4,Cameras and camcorders ,402,Digital SLR Cameras,906360,Female,Alisha,Barnett,Corby,NN17 3FL,1993-08-30,27,2008,Skoda
37401114,2016-01-09,2016-01-09,410,2,GBP,0.68612,1057,402014,"A. Datum SLR Camera 35"" X358 ",A. Datum,Silver Grey,5.2,pounds,588,194.82,4,Cameras and camcorders ,405,Camcorders,906360,Female,Alisha,Barnett,Corby,NN17 3FL,1993-08-30,27,2008,Skoda
37401114,2016-01-09,2016-01-09,410,2,GBP,0.68612,1057,402014,"A. Datum SLR Camera 35"" X358 ",A. Datum,Silver Grey,5.2,pounds,588,194.82,4,Cameras and camcorders ,401,Digital Cameras,906360,Female,Alisha,Barnett,Corby,NN17 3FL,1993-08-30,27,2008,Skoda
37401114,2016-01-09,2016-01-09,410,2,GBP,0.68612,1057,402014,"A. Datum SLR Camera 35"" X358 ",A. Datum,Silver Grey,5.2,pounds,588,194.82,4,Cameras and camcorders ,406,Cameras & Camcorders Accessories,906360,Female,Alisha,Barnett,Corby,NN17 3FL,1993-08-30,27,2008,Skoda
37401301,2016-01-09,2016-01-09,280,4,EUR,0.92073,1632,602062,Contoso DVD 48 DVD Storage Binder M50 ,Contoso,Silver,30,pounds,17.99,8.27,6,"Music, Movies and Audio Books",602,Movie DVD,778647,Male,Primo,Gallo,Cefala' Diana,90030,1956-07-05,64,2005,Fiat
