id,orderkey,orderdate,deliverydate,storekey,quantity,currencycode,exchangerate,productkey,productcode,productname,brand,color,weight,weightunit,price,cost,categorykey,categoryname,subcategorykey,subcategoryname,customerkey,gender,firstname,lastname,city,zipcode,birthday,age,vehicle_year,car
10001,56800183,2016-07-21,2016-07-21,390,1,GBP,0.75892,1617,602047,Contoso DVD Player M110 ,Contoso,Silver,15,pounds,57.99,26.67,6,"Music, Movies and Audio Books",602,Movie DVD,1091493,Female,Faith,Simpson,Brochloch,DG7 7ND,1948-12-15,72,2005,Nissan
10002,56800230,2016-07-21,2016-07-21,660,5,USD,1.00000,2102,804018,Contoso Water Heater 4.0GPM M1250 ,Contoso ,Silver,19.8,pounds,791,363.75,8,Home Appliances,808,Fans,1313151,Male,Joseph,Riley,Ayden,28513,1944-01-27,77,2011,Lancia
10003,56800230,2016-07-21,2016-07-21,660,5,USD,1.00000,2102,804018,Contoso Water Heater 4.0GPM M1250 ,Contoso ,Silver,19.8,pounds,791,363.75,8,Home Appliances,805,Coffee Machines,1313151,Male,Joseph,Riley,Ayden,28513,1944-01-27,77,2011,Lancia
10004,56800230,2016-07-21,2016-07-21,660,5,USD,1.00000,2102,804018,Contoso Water Heater 4.0GPM M1250 ,Contoso ,Silver,19.8,pounds,791,363.75,8,Home Appliances,802,Refrigerators,1313151,Male,Joseph,Riley,Ayden,28513,1944-01-27,77,2011,Lancia
10005,56800230,2016-07-21,2016-07-21,660,5,USD,1.00000,2102,804018,Contoso Water Heater 4.0GPM M1250 ,Contoso ,Silver,19.8,pounds,791,363.75,8,Home Appliances,807,Air Conditioners,1313151,Male,Joseph,Riley,Ayden,28513,1944-01-27,77,2011,Lancia
10006,56800230,2016-07-21,2016-07-21,660,5,USD,1.00000,2102,804018,Contoso Water Heater 4.0GPM M1250 ,Contoso ,Silver,19.8,pounds,791,363.75,8,Home Appliances,804,Water Heaters,1313151,Male,Joseph,Riley,Ayden,28513,1944-01-27,77,2011,Lancia
10007,56800230,2016-07-21,2016-07-21,660,5,USD,1.00000,2102,804018,Contoso Water Heater 4.0GPM M1250 ,Contoso ,Silver,19.8,pounds,791,363.75,8,Home Appliances,806,Lamps,1313151,Male,Joseph,Riley,Ayden,28513,1944-01-27,77,2011,Lancia
10008,56800230,2016-07-21,2016-07-21,660,5,USD,1.00000,2102,804018,Contoso Water Heater 4.0GPM M1250 ,Contoso ,Silver,19.8,pounds,791,363.75,8,Home Appliances,801,Washers & Dryers,1313151,Male,Joseph,Riley,Ayden,28513,1944-01-27,77,2011,Lancia
10009,56800230,2016-07-21,2016-07-21,660,5,USD,1.00000,2102,804018,Contoso Water Heater 4.0GPM M1250 ,Contoso ,Silver,19.8,pounds,791,363.75,8,Home Appliances,803,Microwaves,1313151,Male,Joseph,Riley,Ayden,28513,1944-01-27,77,2011,Lancia
10010,56800325,2016-07-21,2016-07-25,999999,3,AUD,1.33545,672,306031,Proseware Ink Jet All in one M300 ,Proseware,Grey,23,pounds,169,77.72,3,Computers,304,Monitors,68873,Male,Nathan,Balls-Headley,Woongoolba,4207,1946-02-15,74,2009,BMW
